latitude,longitude,iata_faa
78.833889,40.316111,JST
81.4863555,41.565124,CGF
82.5166389,40.8214167,MFD
84.9388611,32.5163333,CSG
70.615278,41.391667,MVY
71.282222,41.533056,UUU
72.517222,43.343333,VSF
71.50233,43.20267,CON
70.708,43.39383,SFM
72.045139,41.330056,GON
80.176217,42.082022,ERI
70.280356,41.669336,HYA
79.916314,39.642908,MGW
81.593189,38.373147,CRW
75.723403,41.338478,AVP
77.848694,40.849278,SCE
75.440806,40.652083,ABE
86.31725,41.708661,SBN
77.00643,38.89746,ZWU
85.152778,41.143353,SMD
77.612139,34.829164,OAJ
83.2767,30.7825,VLD
74.2062,44.3853,SLK
72.9496,43.5294,RUT
75.9652,40.3785,RDG
70.8233,43.0779,PSM
84.7967,45.5709,PLN
86.2382,43.1695,MKG
79.2004,37.3267,LYH
76.2961,40.1217,LNS
72.3042,43.6261,LEB
79.4048,40.2759,LBE
82.558,38.3667,HTS
78.8803,34.9912,FAY
70.9569,41.6761,EWB
78.8987,41.1783,DUJ
88.4891,47.1684,CMX
80.2281,39.2966,CKB
84.4724,46.2508,CIU
81.4665,31.2588,BQK
81.1242,37.7873,BKW
78.6401,41.8031,BFD
83.5603,45.0781,APN
83.3263,33.9486,AHN
84.1945,31.5355,ABY
81.2077,37.2958,BLF
71.8757,42.2673,ORH
72.925992,41.298669,ZVE
70.22139,42.071945,PVC
93.4067,43.2247,MCW
84.3866186,40.5553253,1OH
88.551336,44.024983,OSH
86.4285,42.1285833,BEH
81.3902778,25.8488611,X01
77.7295,39.7079,HGR
80.399444,37.858333,LWB
77.385278,35.635278,PGV
76.615556,39.307222,ZBP
73.9935,40.7505,ZYP
73.92886667,42.85245555,SCH
81.339722,29.959167,UST
81.437083,28.289806,ISM
82.576944,30.181944,LCQ
80.752,32.216,HHH
75.182,39.9557,ZFV
75.358889,38.689194,GED
98.859167,38.344167,GBN
99.2732,38.8422,HYS
72.6815,41.76888,ZRT
73.541493,41.046937,ZTF
74.164167,40.734722,ZRP
80.635,32.41083,BFT
86.246944,44.2725,MBL
81.990556,26.919722,PGD
68.312778,47.285556,WFK
79.258056,42.153333,JHW
84.615556,37.053611,SME
78.896389,38.263889,SHD
102.801944,46.7975,DIK
81.051389,24.726111,MTH
77.591,39.2407,MRB
81.0572,34.9878,RKH
79.9302,40.3544,AGC
81.8767,30.2187,NZC
84.5214,33.7791,FTY
78.4366722,33.9085056,60J
83.073,40.0798,OSU
96.8364478,32.9685594,ADS
86.4714772,30.4000611,DTS
82.86667,24.61667,RBN
74.4148747,40.79935,MMU
41.36079,47.06139,PHK
77.8919,35.8563,RWI
84.5970556,34.0131569,RYY
75.064444,42.524722,ONH
86.1078333,42.7427778,BIV
74.0071,40.7545,JRA
73.778925,40.639751,IDL
82.8694868,41.5162703,PCW
84.2248611,39.5889722,MGY
84.8427175,39.7561006,RID
83.6686111,41.0120278,FDY
97.0942778,32.6638611,GKY
86.4196667,36.9645278,BWG
95.9846389,36.0396111,RVS
76.069,38.8041667,ESN
80.274775,25.325393,OCA
83.8401667,39.8402778,SGH
80.1703,25.7783,MPB
77.42945,37.5343,ZRD
83.792118,39.42792,ILN
84.56177,35.39919,MMI
92.5494875,38.096035,AIZ
83.8811285,30.9017921,TVI
83.488545,31.4289814,TMA
99.1775,29.3591,HDO
80.6463,40.175,HLG
83.2709036,31.6839046,FZG
83.5805833,30.0692778,40J
84.1547353,30.8879767,70J
81.06497,29.1804,OMN
83.0246944,30.300125,24J
77.09576,39.1006,GAI
85.2753333,45.3047778,CVX
84.557425,30.5978708,2J9
81.1212,29.2821,XFL
72.614,44.535,MVL
85.520278,45.721111,6Y8
71.577778,41.168056,BID
84.6369278,30.9715981,BGE
81.3397222,29.95925,SGJ
82.8605664,31.4767385,DQH
77.0621,38.806346,ALX
86.0890834,33.9726489,GAD
85.7213889,34.4736944,4A9
86.1537778,30.7311111,54J
85.6800278,32.4605722,06A
82.3452778,28.0139772,VDF
88.3726111,42.7971667,57C
84.2749444,33.2269722,6A2
80.1110556,26.2471389,PMP
68.017917,46.8715,CAR
67.792056,46.123083,HUL
68.044797,46.688958,PQI
75.67,36.02,FFA
84.3019722,33.8756111,PDK
86.6166805,39.1460208,BMG
80.221294,27.1816996,SUA
83.80325,31.0849167,MGR
82.0185556,27.9889167,LAL
83.9623772,33.9780761,LZU
79.4748892,36.0485433,BUY
74.2813611,40.8752222,CDW
73.7103,42.2913,HCC
83.7739167,31.9888333,CKF
83.5615972,34.1758638,19A
80.372638,27.497472,FRP
71.0166453,41.8744017,TAN
70.7287778,41.9090278,PYM
71.4121389,41.5971389,OQU
71.1967714,42.0001331,1B9
71.1729444,42.1905278,OWD
72.715875,42.1579472,BAF
72.1802222,41.7440278,IJD
74.2646444,41.5099884,MGJ
76.8513611,40.2171389,CXY
70.6721389,42.09825,GHG
73.4821906,41.3715353,DXR
71.5147778,42.78175,ASH
71.1234167,42.7171944,LWM
73.13525,41.4785556,OXC
71.7589722,42.5541111,FIT
84.8487067,34.1231475,VPC
85.6100833,34.0899167,PYP
85.1586667,34.3507778,RMG
83.8736667,35.9638333,DKX
83.6674167,33.9828611,WDR
81.5971111,32.6452778,JYL
84.87025,34.7229444,DNN
85.1522641,33.6316964,CTJ
85.0726111,33.0088611,LGC
83.2414139,33.154225,MLJ
85.1464722,34.0186944,4A4
84.8824444,32.8406944,PIM
84.5718333,33.35725,FFC
83.8474472,33.6323083,9A1
83.8302233,34.272627,GVL
84.4221556,34.3122175,CNI
85.2903319,34.6884792,9A5
81.4199444,40.4701667,PHD
79.8900608,34.4493845,UDG
80.6974722,32.2243611,HXD
84.5265833,34.6282222,49A
82.1734167,36.3712222,0A9
82.0393808,33.4665028,DNL
81.6115119,35.8202336,MRN
82.5663889,37.5617639,PBX
83.2963717,34.5928117,TOC
95.2175,39.009167,LWC
97.423225,37.39411,EGT
82,28,DWS
77.608889,35.331389,ISO
124.057917,44.580361,ONP
149.9653918,61.1866382,LHD
